date,open,high,low,close,volume
2025-01-27,2766.35,2772.53,2730.5,2740.59,158442
2025-01-28,2740.39,2765.03,2734.83,2763.51,124655
2025-01-29,2763.37,2766.26,2744.84,2759.42,132480
2025-01-30,2759.86,2798.46,2758.26,2793.14,134282
2025-01-31,2795.06,2817.09,2791.04,2798.9,147876
2025-02-03,2805.41,2830.58,2772.17,2814.64,175512
2025-02-04,2814.28,2845.45,2807.29,2842.19,157172
2025-02-05,2841.76,2882.31,2839.81,2867.33,148479
2025-02-06,2866.13,2873.24,2834.24,2856.01,141970
2025-02-07,2856.13,2886.78,2852.54,2861.1,137377
2025-02-10,2856.86,2911.6,2854.96,2908.04,143909
2025-02-11,2908.37,2942.68,2881.88,2897.69,171148
2025-02-12,2897.38,2909.19,2864.17,2904.2,149327
2025-02-13,2904.23,2929.49,2900.46,2928.53,140579
2025-02-14,2927.85,2940.01,2877.04,2882.75,163071
2025-02-17,2884.25,2906.48,2878.82,2897.36,109158
2025-02-18,2899.06,2936.95,2892.03,2935.29,115857
2025-02-19,2935.11,2947.01,2918.64,2932.88,131846
2025-02-20,2933.46,2954.89,2924.21,2938.52,129075
2025-02-21,2938.69,2949.82,2916.81,2936.36,130896
2025-02-24,2935.27,2956.22,2921.44,2952.49,130950
2025-02-25,2952.48,2953.75,2888.35,2914.98,146845
2025-02-26,2914.81,2930.14,2890.84,2916.39,122354
2025-02-27,2916.76,2920.81,2867.87,2877.16,148655
2025-02-28,2877.53,2885.15,2832.7,2857.89,146276
2025-03-03,2859.08,2895.26,2858.85,2893.51,134819
2025-03-04,2892.04,2927.86,2882.02,2917.58,141495
2025-03-05,2918.13,2929.92,2894.35,2919.1,149121
2025-03-06,2919.04,2926.58,2891.4,2910.97,142210
2025-03-07,2911.64,2930.37,2896.81,2911.44,143167
2025-03-10,2911.85,2918.3,2880.25,2889.07,157131
2025-03-11,2888.55,2922.21,2880.35,2916.05,139194
2025-03-12,2915.59,2940.57,2906.11,2933.19,140030
2025-03-13,2934.19,2989.06,2932.94,2989.0,141440
2025-03-14,2987.93,3005.0,2978.52,2985.98,142206
2025-03-17,2983.58,3001.92,2982.31,3001.38,116459
2025-03-18,3001.28,3038.33,2999.43,3033.99,128983
2025-03-19,3034.14,3051.97,3022.87,3047.34,127902
2025-03-20,3047.91,3057.49,3025.76,3044.6,139599
2025-03-21,3045.13,3047.5,2999.45,3023.31,130633
2025-03-24,3022.3,3033.38,3002.5,3011.83,135944
2025-03-25,3011.67,3035.88,3007.59,3020.3,113091
2025-03-26,3019.87,3032.1,3012.35,3019.03,119599
2025-03-27,3019.67,3059.9,3017.63,3056.65,138065
2025-03-28,3056.44,3086.81,3054.21,3085.39,132818
2025-03-31,3087.59,3127.9,3076.8,3124.11,147449
2025-04-01,3123.86,3149.04,3100.86,3114.34,144449
2025-04-02,3114.33,3144.08,3105.3,3133.22,134487
2025-04-03,3135.91,3167.62,3054.33,3113.15,210223
2025-04-04,3114.03,3136.61,3015.87,3038.24,200321
2025-04-07,3008.29,3056.38,2956.6,2982.59,333796
2025-04-08,2982.05,3022.77,2974.78,2982.33,235510
2025-04-09,2983.21,3099.55,2969.97,3083.18,312966
2025-04-10,3082.53,3176.38,3071.48,3175.74,258050
2025-04-11,3176.69,3245.41,3176.33,3237.85,290148
2025-04-14,3222.99,3245.78,3193.76,3210.42,174398
2025-04-15,3211.26,3233.6,3210.09,3229.72,129432
2025-04-16,3230.72,3342.68,3229.86,3342.34,197138
2025-04-17,3343.49,3357.76,3284.06,3327.48,184900
2025-04-21,3331.97,3430.52,3329.1,3424.68,191812
2025-04-22,3425.36,3500.06,3366.78,3381.31,245479
2025-04-23,3339.9,3386.69,3260.14,3288.29,234180
2025-04-24,3289.16,3367.61,3289.15,3349.18,188966
