date,open,high,low,close,volume
2025-06-11,3321.59,3360.82,3315.56,3355.52,174249
2025-06-12,3358.3,3399.0,3338.45,3385.82,193368
2025-06-13,3385.81,3446.83,3379.81,3433.54,205964
2025-06-16,3441.28,3451.29,3382.72,3384.84,161699
2025-06-17,3386.08,3403.3,3366.23,3388.67,158871
2025-06-18,3392.42,3400.09,3362.6,3368.54,152244
2025-06-19,3370.31,3388.07,3347.64,3369.56,111919
2025-06-20,3370.25,3374.54,3340.4,3368.29,125610
2025-06-23,3393.23,3394.89,3347.1,3368.56,153568
2025-06-24,3368.3,3369.81,3295.48,3323.03,157613
2025-06-25,3324.35,3337.2,3311.97,3332.25,107888
2025-06-26,3334.86,3350.41,3310.0,3328.22,132169
2025-06-27,3327.48,3327.85,3256.12,3274.38,154283
2025-06-30,3276.5,3309.48,3249.16,3303.09,121162
2025-07-01,3303.22,3358.0,3302.34,3338.94,124799
2025-07-02,3338.92,3360.14,3327.6,3357.25,110565
2025-07-03,3358.98,3365.75,3311.63,3326.56,114587
2025-07-04,3325.74,3345.15,3323.54,3335.02,68407
2025-07-07,3337.32,3342.71,3296.5,3336.53,140061
2025-07-08,3339.13,3345.89,3287.15,3301.63,133400
2025-07-09,3302.29,3316.84,3282.73,3313.84,127444
2025-07-10,3314.77,3330.32,3310.07,3324.46,106180
2025-07-11,3324.33,3368.74,3321.88,3355.04,158687
2025-07-14,3364.71,3374.98,3341.05,3342.55,146919
2025-07-15,3344.43,3366.4,3320.27,3325.24,121132
2025-07-16,3324.2,3377.6,3319.66,3347.51,143911
2025-07-17,3349.56,3352.14,3309.77,3338.73,120131
2025-07-18,3341.36,3361.27,3331.88,3350.28,99859
2025-07-21,3349.67,3401.5,3344.97,3397.56,121341
2025-07-22,3397.63,3402.69,3383.35,3388.95,37677
